github_url,file_path,signature,static_match
github.com/microsoft/LMOps,promptist/diffusers/tests/test_pipelines_flax.py,diffusers.FlaxDiffusionPipeline.from_pretrained;diffusers.FlaxStableDiffusionPipeline.from_pretrained;diffusers.FlaxStableDiffusionPipeline.from_pretrained;diffusers.FlaxStableDiffusionPipeline.from_pretrained;diffusers.FlaxStableDiffusionPipeline.from_pretrained;diffusers.FlaxStableDiffusionPipeline.from_pretrained,hf-internal-testing/tiny-stable-diffusion-pipe;hf-internal-testing/tiny-stable-diffusion-pipe;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4
github.com/TkskKurumi/DiffusersFastAPI,modules/diffusion/load_vae.py,diffusers.pipelines.stable_diffusion.StableDiffusionSafetyChecker.from_pretrained,CompVis/stable-diffusion-safety-checker
github.com/SHI-Labs/Text2Video-Zero-sd-webui,model.py,diffusers.ControlNetModel.from_pretrained;diffusers.ControlNetModel.from_pretrained;diffusers.ControlNetModel.from_pretrained;diffusers.ControlNetModel.from_pretrained;diffusers.UNet2DConditionModel.from_pretrained,lllyasviel/sd-controlnet-canny;lllyasviel/sd-controlnet-depth;lllyasviel/sd-controlnet-canny
github.com/declare-lab/tango,diffusers/tests/pipelines/latent_diffusion/test_latent_diffusion_superresolution.py,diffusers.LDMSuperResolutionPipeline.from_pretrained,duongna/ldm-super-resolution
github.com/huggingface/diffusers,tests/pipelines/stable_diffusion_2/test_stable_diffusion_depth.py,diffusers.StableDiffusionDepth2ImgPipeline.from_pretrained;diffusers.StableDiffusionDepth2ImgPipeline.from_pretrained;diffusers.StableDiffusionDepth2ImgPipeline.from_pretrained;diffusers.StableDiffusionDepth2ImgPipeline.from_pretrained;diffusers.StableDiffusionDepth2ImgPipeline.from_pretrained;diffusers.StableDiffusionDepth2ImgPipeline.from_pretrained;diffusers.StableDiffusionDepth2ImgPipeline.from_pretrained;diffusers.StableDiffusionDepth2ImgPipeline.from_pretrained;diffusers.StableDiffusionDepth2ImgPipeline.from_pretrained,stabilityai/stable-diffusion-2-depth;stabilityai/stable-diffusion-2-depth;stabilityai/stable-diffusion-2-depth;stabilityai/stable-diffusion-2-depth;stabilityai/stable-diffusion-2-depth;stabilityai/stable-diffusion-2-depth;stabilityai/stable-diffusion-2-depth;stabilityai/stable-diffusion-2-depth;stabilityai/stable-diffusion-2-depth
github.com/Zeqiang-Lai/Anything2Image,tasks/audiotext2img.py,diffusers.StableUnCLIPImg2ImgPipeline.from_pretrained,stabilityai/stable-diffusion-2-1-unclip
github.com/jialuli-luka/PanoGen,Stable-Diffusion/diffusers/tests/pipelines/dance_diffusion/test_dance_diffusion.py,diffusers.DanceDiffusionPipeline.from_pretrained;diffusers.DanceDiffusionPipeline.from_pretrained,harmonai/maestro-150k;harmonai/maestro-150k
github.com/poop-team/daydream,Stable_Diffusion/api/sb copy.py,diffusers.StableDiffusionPipeline.from_pretrained,CompVis/stable-diffusion-v1-4
github.com/huggingface/diffusers,tests/pipelines/stable_diffusion_2/test_stable_diffusion_flax.py,diffusers.FlaxStableDiffusionPipeline.from_pretrained;diffusers.FlaxDPMSolverMultistepScheduler.from_pretrained;diffusers.FlaxStableDiffusionPipeline.from_pretrained,stabilityai/stable-diffusion-2
github.com/drboog/Shifted_Diffusion,diffusers/tests/pipelines/stable_diffusion/test_stable_diffusion_sag.py,diffusers.StableDiffusionSAGPipeline.from_pretrained;diffusers.StableDiffusionSAGPipeline.from_pretrained,CompVis/stable-diffusion-v1-4;stabilityai/stable-diffusion-2-1-base
github.com/declare-lab/tango,diffusers/examples/research_projects/intel_opts/textual_inversion/textual_inversion_bf16.py,diffusers.AutoencoderKL.from_pretrained;diffusers.UNet2DConditionModel.from_pretrained;diffusers.DDPMScheduler.from_pretrained;diffusers.PNDMScheduler.from_pretrained;diffusers.pipelines.stable_diffusion.StableDiffusionSafetyChecker.from_pretrained,CompVis/stable-diffusion-safety-checker
github.com/microsoft/LMOps,promptist/diffusers/tests/pipelines/vq_diffusion/test_vq_diffusion.py,diffusers.VQDiffusionPipeline.from_pretrained,microsoft/vq-diffusion-ithq
github.com/myrzx/visual-chatgpt-colab,visual_chatgpt.py,diffusers.StableDiffusionInpaintPipeline.from_pretrained.to;diffusers.StableDiffusionInstructPix2PixPipeline.from_pretrained.to;diffusers.StableDiffusionPipeline.from_pretrained,runwayml/stable-diffusion-v1-5
github.com/drboog/Shifted_Diffusion,diffusers/tests/pipelines/stable_diffusion/test_stable_diffusion_inpaint_legacy.py,diffusers.StableDiffusionInpaintPipelineLegacy.from_pretrained;diffusers.StableDiffusionInpaintPipelineLegacy.from_pretrained;diffusers.StableDiffusionInpaintPipelineLegacy.from_pretrained;diffusers.StableDiffusionInpaintPipelineLegacy.from_pretrained;diffusers.StableDiffusionInpaintPipelineLegacy.from_pretrained;diffusers.StableDiffusionInpaintPipelineLegacy.from_pretrained;diffusers.StableDiffusionInpaintPipelineLegacy.from_pretrained,CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;runwayml/stable-diffusion-v1-5;runwayml/stable-diffusion-v1-5;runwayml/stable-diffusion-v1-5;runwayml/stable-diffusion-v1-5
github.com/huggingface/diffusers,tests/pipelines/vq_diffusion/test_vq_diffusion.py,diffusers.VQDiffusionPipeline.from_pretrained,microsoft/vq-diffusion-ithq
github.com/microsoft/LMOps,promptist/diffusers/tests/pipelines/latent_diffusion/test_latent_diffusion_superresolution.py,diffusers.LDMSuperResolutionPipeline.from_pretrained,duongna/ldm-super-resolution
github.com/MichWozPol/LEGO_StableDiffusion,diffusers/examples/research_projects/intel_opts/textual_inversion/textual_inversion_bf16.py,diffusers.AutoencoderKL.from_pretrained;diffusers.UNet2DConditionModel.from_pretrained;diffusers.DDPMScheduler.from_pretrained;diffusers.PNDMScheduler.from_pretrained;diffusers.pipelines.stable_diffusion.StableDiffusionSafetyChecker.from_pretrained,CompVis/stable-diffusion-safety-checker
github.com/huggingface/diffusers,tests/pipelines/stable_diffusion/test_onnx_stable_diffusion_inpaint.py,diffusers.OnnxStableDiffusionInpaintPipeline.from_pretrained;diffusers.LMSDiscreteScheduler.from_pretrained;diffusers.OnnxStableDiffusionInpaintPipeline.from_pretrained,runwayml/stable-diffusion-inpainting;runwayml/stable-diffusion-inpainting;runwayml/stable-diffusion-inpainting
github.com/ogkalu2/Sketch-Guided-Stable-Diffusion,train_LGP.py,diffusers.AutoencoderKL.from_pretrained.to;diffusers.UNet2DConditionModel.from_pretrained.to;diffusers.PNDMScheduler.from_pretrained,runwayml/stable-diffusion-v1-5
github.com/declare-lab/tango,diffusers/tests/pipelines/spectrogram_diffusion/test_spectrogram_diffusion.py,diffusers.SpectrogramDiffusionPipeline.from_pretrained;diffusers.SpectrogramDiffusionPipeline.from_pretrained;diffusers.SpectrogramDiffusionPipeline.from_pretrained,google/music-spectrogram-diffusion;google/music-spectrogram-diffusion;google/music-spectrogram-diffusion
github.com/svjack/Stable-Diffusion-Pokemon,train_en_model.py,diffusers.AutoencoderKL.from_pretrained;diffusers.UNet2DConditionModel.from_pretrained;diffusers.pipelines.stable_diffusion.StableDiffusionSafetyChecker.from_pretrained,CompVis/stable-diffusion-safety-checker
github.com/Oneflow-Inc/diffusers,benchmarks/stable_diffusion_2_unet.py,diffusers.UNet2DConditionModel.from_pretrained,stabilityai/stable-diffusion-2
github.com/WGS-note/finetune_stable_diffusion,diffusers/tests/pipelines/versatile_diffusion/test_versatile_diffusion_text_to_image.py,diffusers.VersatileDiffusionTextToImagePipeline.from_pretrained;diffusers.VersatileDiffusionTextToImagePipeline.from_pretrained;diffusers.VersatileDiffusionTextToImagePipeline.from_pretrained,shi-labs/versatile-diffusion;shi-labs/versatile-diffusion
github.com/tin2tin/generative_ai,__init__.py,diffusers.DiffusionPipeline.from_pretrained;diffusers.AudioLDMPipeline.from_pretrained;diffusers.DiffusionPipeline.from_pretrained;diffusers.DiffusionPipeline.from_pretrained;diffusers.DiffusionPipeline.from_pretrained;diffusers.DiffusionPipeline.from_pretrained,DeepFloyd/IF-I-M-v1.0;DeepFloyd/IF-II-M-v1.0;stabilityai/stable-diffusion-x4-upscaler
github.com/cmubig/Frida,src/stable_diffusion/stable_diffusion_loss2.py,diffusers.StableDiffusionPipeline.from_pretrained,CompVis/stable-diffusion-v1-4
github.com/declare-lab/tango,diffusers/tests/pipelines/stable_diffusion/test_stable_diffusion_sag.py,diffusers.StableDiffusionSAGPipeline.from_pretrained;diffusers.StableDiffusionSAGPipeline.from_pretrained;diffusers.StableDiffusionSAGPipeline.from_pretrained,CompVis/stable-diffusion-v1-4;stabilityai/stable-diffusion-2-1-base;stabilityai/stable-diffusion-2-1-base
github.com/drboog/Shifted_Diffusion,diffusers/tests/pipelines/stable_diffusion/test_stable_diffusion_pix2pix_zero.py,diffusers.StableDiffusionPix2PixZeroPipeline.from_pretrained;diffusers.StableDiffusionPix2PixZeroPipeline.from_pretrained;diffusers.StableDiffusionPix2PixZeroPipeline.from_pretrained;diffusers.StableDiffusionPix2PixZeroPipeline.from_pretrained;diffusers.StableDiffusionPix2PixZeroPipeline.from_pretrained;diffusers.StableDiffusionPix2PixZeroPipeline.from_pretrained,CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4
